country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Mozambique,MAPUTO,right,0.5535,2014,-25.966213,32.56745
Mozambique,MAPUTO,right,0.6281,2018,-25.966213,32.56745
Mozambique,MAPUTO,right,0.5425,2022,-25.966213,32.56745
Namibia,WINDHOEK,right,0.7188,2014,-22.5776104,17.0772739
Namibia,WINDHOEK,right,0.6111,2018,-22.5776104,17.0772739
Namibia,WINDHOEK,right,0.8857,2022,-22.5776104,17.0772739
Nepal,KATMANDU,right,0.6,2018,27.708317,85.3205817
Nepal,KATMANDU,right,0.8667,2022,27.708317,85.3205817
Netherlands,AMSTERDÃ,left,0.7841,2022,52.3730796,4.8924534
Netherlands,ROTTERDÃ,right,0.6632,2014,,
Netherlands,ROTTERDÃ,left,0.5378,2018,,
New Zealand,WELLINGTON,right,0.7302,2014,-41.2887953,174.7772114
New Zealand,WELLINGTON,right,0.5831,2018,-41.2887953,174.7772114
New Zealand,WELLINGTON,left,0.7034,2022,-41.2887953,174.7772114
Nicaragua,MANÁGUA,right,0.5345,2014,12.1544035,-86.2737642
Nicaragua,MANÁGUA,right,0.6102,2018,12.1544035,-86.2737642
Nicaragua,MANÁGUA,right,0.5278,2022,12.1544035,-86.2737642
Nigeria,LAGOS,right,0.7368,2014,6.4550575,3.3941795
Nigeria,LAGOS,left,0.6364,2018,6.4550575,3.3941795
Nigeria,LAGOS,left,0.84,2022,6.4550575,3.3941795
Norway,OSLO,right,0.6304,2014,59.9133301,10.7389701
Norway,OSLO,left,0.5425,2018,59.9133301,10.7389701
Norway,OSLO,left,0.7612,2022,59.9133301,10.7389701
Oman,MASCATE,right,0.8889,2018,23.5882019,58.3829448
Oman,MASCATE,right,0.6957,2022,23.5882019,58.3829448
Palestine,RAMALLAH,left,0.9054,2022,31.9158969,35.1781625
Palestine,RAMALLAH-PALE,left,0.8403,2014,,
Palestine,RAMALLAH-PALE,left,0.9015,2018,,
Panama,PANAMA,right,0.6087,2022,8.559559,-81.1308434
Panama,PANAMÁ-PAN,right,0.7747,2014,8.1057963,-80.9695749
