sg_uf,nm_municipio,nr_candidato,nm_urna_candidato,sg_partido,ds_sit_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AL,BELÉM,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6798,2174,3198
AL,BELÉM,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3202,1024,3198
AL,BOCA DA MATA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6239,8306,13314
AL,BOCA DA MATA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3761,5008,13314
AL,BRANQUINHA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.645,3205,4969
AL,BRANQUINHA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.355,1764,4969
AL,CACIMBINHAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7567,3977,5256
AL,CACIMBINHAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2433,1279,5256
AL,CAJUEIRO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5309,5009,9435
AL,CAJUEIRO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4691,4426,9435
AL,CAMPESTRE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6614,2176,3290
AL,CAMPESTRE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3386,1114,3290
AL,CAMPO ALEGRE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6483,9741,15025
AL,CAMPO ALEGRE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3517,5284,15025
AL,CAMPO GRANDE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8505,4802,5646
AL,CAMPO GRANDE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1495,844,5646
AL,CANAPI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8861,7265,8199
AL,CANAPI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1139,934,8199
AL,CAPELA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6152,5326,8658
AL,CAPELA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3848,3332,8658
AL,CARNEIROS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8364,3498,4182
AL,CARNEIROS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1636,684,4182
AL,CHÃ PRETA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7469,2810,3762
AL,CHÃ PRETA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2531,952,3762
AL,COITÉ DO NÓIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.838,4986,5950
AL,COITÉ DO NÓIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.162,964,5950
AL,COLÔNIA LEOPOLDINA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.5137,4602,8959
AL,COLÔNIA LEOPOLDINA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.4863,4357,8959
AL,COQUEIRO SECO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.654,2181,3335
AL,COQUEIRO SECO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.346,1154,3335
AL,CORURIPE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.5453,14774,27093
AL,CORURIPE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.4547,12319,27093
AL,CRAÍBAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8371,10397,12421
AL,CRAÍBAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1629,2024,12421
AL,DELMIRO GOUVEIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8494,21827,25698
AL,DELMIRO GOUVEIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1506,3871,25698
AL,DOIS RIACHOS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7761,4306,5548
AL,DOIS RIACHOS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2239,1242,5548
AL,ESTRELA DE ALAGOAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8354,6268,7503
AL,ESTRELA DE ALAGOAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1646,1235,7503
AL,FEIRA GRANDE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.831,9865,11871
AL,FEIRA GRANDE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.169,2006,11871
AL,FELIZ DESERTO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6112,1327,2171
AL,FELIZ DESERTO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3888,844,2171
AL,FLEXEIRAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.6492,3579,5513
AL,FLEXEIRAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.3508,1934,5513
AL,GIRAU DO PONCIANO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8779,15217,17333
AL,GIRAU DO PONCIANO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1221,2116,17333
AL,IBATEGUARA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5096,3574,7013
AL,IBATEGUARA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4904,3439,7013
AL,IGACI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8691,10945,12593
AL,IGACI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1309,1648,12593
AL,IGREJA NOVA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7668,9189,11983
AL,IGREJA NOVA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2332,2794,11983
AL,INHAPI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8894,7072,7951
AL,INHAPI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1106,879,7951
AL,JACARÉ DOS HOMENS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.815,2626,3222
AL,JACARÉ DOS HOMENS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.185,596,3222
AL,JACUÍPE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6494,2132,3283
